id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;country;time_zone;is_city;is_main_station;is_airport;is_suggestable;country_hint;main_station_hint;sncf_id;sncf_tvs_id;sncf_is_enabled;entur_id;entur_is_enabled;db_id;db_is_enabled;busbud_id;busbud_is_enabled;distribusion_id;distribusion_is_enabled;flixbus_id;flixbus_is_enabled;cff_id;cff_is_enabled;leoexpress_id;leoexpress_is_enabled;obb_id;obb_is_enabled;ouigo_id;ouigo_is_enabled;trenitalia_id;trenitalia_is_enabled;trenitalia_rtvt_id;ntv_rtiv_id;ntv_id;ntv_is_enabled;hkx_id;hkx_is_enabled;renfe_id;renfe_is_enabled;atoc_id;atoc_is_enabled;benerail_id;benerail_is_enabled;westbahn_id;westbahn_is_enabled;sncf_self_service_machine;same_as;info:de;info:en;info:es;info:fr;info:it;info:nb;info:nl;info:cs;info:da;info:hu;info:ja;info:ko;info:pl;info:pt;info:ru;info:sv;info:tr;info:zh;normalised_code;iata_airport_code
8644;Den Haag HS;den-haag-hs;8400280;;52.069584;4.322669;8663;NL;Europe/Amsterdam;f;f;f;t;f;f;NLABL;;f;;f;8400280;t;;f;;f;;f;;f;;f;8400280;f;;f;;f;;;;f;;f;;f;;f;NLDHH;t;;f;f;;;The Hague;La Haya;La Haye;L’Aia;;;;;;;;;;;;;;urn:trainline:public:nloc:csv8644;
8645;Zwolle;zwolle;8400747;;52.5063790000;6.0898410000;;NL;Europe/Amsterdam;f;f;f;t;f;f;NLABM;;f;;f;8400747;t;u1k6dx;t;;f;;f;;f;;f;8400747;f;;f;;f;;;;f;;f;;f;;f;NLZLE;t;;f;f;;;;;;;;;;;;ズヴォレ;즈볼러;;;Зволле;;;兹沃勒;urn:trainline:public:nloc:csv8645;
8648;Leeuwarden;leeuwarden;8484387;;53.19622;5.791686;;NL;Europe/Amsterdam;f;f;f;t;f;f;NLABP;;f;;f;8400387;t;;f;;f;10428;t;;f;;f;8400387;f;;f;;f;;;;f;;f;;f;;f;NLLWD;t;;f;f;;;;;;;;;;;;レーワルデン;레이우아르던;;;Леуварден;;;吕伐登;urn:trainline:public:nloc:csv8648;
8651;Enschede;enschede;8484212;;52.2225620000;6.8902220000;;NL;Europe/Amsterdam;f;f;f;t;f;f;NLABS;;f;;f;8400212;t;u1kchf;t;;f;1835;t;;f;;f;8400212;f;;f;;f;;;;f;;f;;f;;f;NLESD;t;;f;f;;;;;;;;;;;;エンスヘーデ;엔스헤더;;;Энсхеде;;;恩斯赫德;urn:trainline:public:nloc:csv8651;
8653;Assen;assen;8400073;;52.9915990000;6.5678150000;;NL;Europe/Amsterdam;f;f;f;t;f;f;NLABU;;f;;f;8400073;t;;f;;f;;f;;f;;f;8400073;f;;f;;f;;;;f;;f;;f;;f;NLASN;t;;f;f;;;;;;;;;;;;アッセン;아선;;;Ассен;;;阿森;urn:trainline:public:nloc:csv8653;
8657;Amsterdam;amsterdam;;;52.37863816394399;4.900825023651123;;NL;Europe/Amsterdam;t;f;f;t;f;f;NLAMS;;t;;f;;f;u173zq;t;NLAMS;t;1334;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;Amszterdam;アムステルダム;암스테르담;;Amesterdão;Амстердам;;;阿姆斯特丹;urn:trainline:public:nloc:csv8657;
8658;Amersfoort;amersfoort;8400055;;52.1536600000;5.3711980000;;NL;Europe/Amsterdam;f;f;f;t;f;f;NLAOO;;f;;f;8400055;t;u17bdw;t;;f;7808;t;;f;;f;8400055;f;;f;;f;;;;f;;f;;f;;f;NLAMF;t;;f;f;;;;;;;;;;;;;;;;Амерсфорт;;;;urn:trainline:public:nloc:csv8658;
8659;Arnhem;arnhem;8400071;;51.9849420000;5.8995480000;;NL;Europe/Amsterdam;f;f;f;t;f;f;NLARN;;f;;f;8400071;t;u1hpww;t;NLZYM;t;1314;t;;f;;f;8400071;f;;f;;f;;;;f;;f;;f;;f;NLAHM;t;;f;f;;Arnheim;;;;;;;;;;アーネム;아른험;;Arnhemia;Арнем;;;阿纳姆;urn:trainline:public:nloc:csv8659;
8661;Breda;breda;8400131;;51.5944590000;4.7764000000;;NL;Europe/Amsterdam;f;f;f;t;f;f;NLBDA;;f;;f;8400131;t;u15mkx;t;NLGLZ;t;3308;t;;f;;f;8400131;f;;f;;f;;;;f;;f;;f;;f;NLBDA;t;;f;f;;;;;;;;;;;;ブレダ;브레다;;;Бреда;;;布雷达;urn:trainline:public:nloc:csv8661;
8662;Dordrecht;dordrecht;8400180;;51.8077820000;4.6668210000;;NL;Europe/Amsterdam;f;f;f;t;f;f;NLDDT;;f;;f;8400180;t;u15qdr;t;;f;8518;t;;f;;f;8400180;f;;f;;f;;;;f;;f;;f;;f;NLDDT;t;;f;f;;;;;;;;;;;;ドルトレヒト;;;Dordreque;;;;;urn:trainline:public:nloc:csv8662;
8663;Den Haag;den-haag;;;52.0810;4.3087;;NL;Europe/Amsterdam;t;f;f;t;f;f;NLDHC;;f;;f;8496001;t;u1703b;t;NLHAG;t;1825;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;The Hague;La Haya;La Haye;L’Aia;;;;;;;;;;;;;;urn:trainline:public:nloc:csv8663;
8664;Den Haag Centraal;den-haag-centraal;8400282;;52.0805060000;4.3239910000;8663;NL;Europe/Amsterdam;f;t;f;t;f;f;NLDHH;;f;;f;8400282;t;;f;;f;;f;;f;;f;8400282;f;;f;;f;;;;f;;f;;f;;f;NLDHC;t;;f;f;;;The Hague;La Haya;La Haye;L’Aia;;;;;Hága;ハーグ;헤이그;Haga;A Haia;Гаага;;Lahey;海牙;urn:trainline:public:nloc:csv8664;
8666;Eindhoven;eindhoven;8400206;;51.4430630000;5.4799500000;;NL;Europe/Amsterdam;t;f;f;t;f;f;NLEIN;;f;;f;8400206;t;u15uss;t;NLEIN;t;5078;t;;f;;f;8400206;f;;f;;f;;;;f;;f;;f;;f;NLEHV;t;;f;f;;;;;;;;;;;;アイントホーフェン;에인트호번;;;Эйндховен;;;埃因霍温;urn:trainline:public:nloc:csv8666;
8667;Haarlem;haarlem;8400285;;52.3871100000;4.6364650000;;NL;Europe/Amsterdam;f;f;f;t;f;f;NLGRZ;;f;;f;8400285;t;;f;;f;5908;t;;f;;f;8400285;f;;f;;f;;;;f;;f;;f;;f;NLHLM;t;;f;f;;;;;;;;;;;;ハールレム;하를럼;;;Харлем;;;哈勒姆;urn:trainline:public:nloc:csv8667;
8668;Maastricht;maastricht;8400424;;50.849811;5.705875;;NL;Europe/Amsterdam;f;f;f;t;f;f;NLMST;;f;;f;8400424;t;u1h132;t;NLMST;t;1945;t;;f;;f;8400424;f;;f;;f;;;;f;;f;;f;;f;NLMTT;t;;f;f;;;;;;;;;;;;マーストリヒト;마스트리흐트;;Mastrique;Маастрихт;;;马斯特里赫特;urn:trainline:public:nloc:csv8668;
8669;Roosendaal;roosendaal;8400526;;51.5398590000;4.4566360000;;NL;Europe/Amsterdam;f;f;f;t;f;f;NLROO;;f;;f;8400526;t;;f;;f;;f;;f;;f;8400526;f;;f;;f;;;;f;;f;;f;;f;NLRSD;t;;f;f;;;;;Rosendael;;;;;;;ローゼンダール;로센달;;;Розендал;;;罗森达尔;urn:trainline:public:nloc:csv8669;
8670;Rotterdam Centraal;rotterdam-centraal;8400530;84005306;51.925068244603146;4.468839168548584;23616;NL;Europe/Amsterdam;f;t;f;t;f;f;NLRTA;;t;;f;8400530;t;;f;;f;;f;;f;;f;8400530;f;;f;;f;;;;f;;f;8400530;f;;f;NLRTC;t;;f;f;;;;;;;;;;;;ロッテルダム;로테르담;;Roterdão;Роттердам;;;鹿特丹;urn:trainline:public:nloc:csv8670;
8672;Schiphol Airport;schiphol-airport;8400561;;52.3087870000;4.7614870000;;NL;Europe/Amsterdam;f;f;t;t;f;f;NLSPH;;t;;f;8400561;t;;f;NLAMSAS;t;23651;t;;f;;f;8400561;f;;f;;f;;;;f;;f;8400561;f;;f;NLSHL;t;;f;f;;Amsterdam;Amsterdam;Amsterdam;Amsterdam;Amsterdam;;Amsterdam;Amsterdam;Amsterdam;Amszterdam;アムステルダム;암스테르담;Amsterdam;Amesterdão;Амстердам;Amsterdam;Amsterdam;阿姆斯特丹;urn:trainline:public:nloc:csv8672;AMS
8673;Utrecht Centraal;utrecht-centraal;8400621;;52.0875800000;5.1111670000;28938;NL;Europe/Amsterdam;f;t;f;t;f;f;NLUTC;;f;;f;8400621;t;;f;;f;;f;;f;;f;8400621;f;;f;;f;;;;f;;f;;f;;f;NLUTC;t;;f;f;;;;;;;;;;;;ユトレヒト;위트레흐트;;Utreque;Утрехт;;;乌得勒支;urn:trainline:public:nloc:csv8673;
